Free;With_ligand;vl_first;vl_second;optimizer;optimizer+post_proc;;best;;media;sdt.dev
Ube2T_ref_final.csv;ube2t_em02_5mM_manual.csv;99,13%;99,13%;99,13%;100,00%;;100,00%;;89,23%;0,113280275
Ube2T_ref_final.csv;ube2T_em11_3mM_manual.csv;94,87%;95,73%;95,73%;95,73%;;95,73%;;;
Ube2T_ref_final.csv;ube2t_em04_3mM_manual.csv;96,43%;97,32%;96,43%;97,32%;;97,32%;;;
Ube2T_ref_final.csv;ube2t_em09_3mM_manual.csv;98,20%;98,20%;98,20%;98,20%;;98,20%;;;
Ube2T_ref_final.csv;ube2t_em17_3mM_final.csv;68,69%;68,69%;66,67%;66,67%;;68,69%;;;
Ube2T_ref_final.csv;ube2t_em29_3mM_manual.csv;94,26%;97,54%;94,26%;97,54%;;97,54%;;;
baz2b_phd_ref_renumbered.csv;baz2b_vs_5-mer_20_1_renumbered.csv;90,57%;86,79%;79,25%;88,68%;;90,57%;;;
baz2a_phd_ref_renumbered.csv;baz2a_phd_vs_5mer_64_1_renumbered.csv;84,91%;88,68%;79,25%;96,23%;;96,23%;;;
baz2a_phd_ref_renumbered.csv;baz2a_phd_vs_10mer_8_1_renumbered.csv;79,25%;71,70%;69,81%;83,02%;;83,02%;;;
MMP12Cat_AHA_T1_ref_270510;MMP12Cat_Dive_T1_ref_peaks;71,62%;72,97%;78,38%;72,97%;;78,38%;;;
MMP12Cat_AHA_T1_ref_270510;MMP12Cat_NNGH_T1_ref_300707;73,79%;64,83%;70,34%;73,10%;;73,79%;;;
MMP12_AHA_ref;MMP12Cat_NNGH_T1_ref_300707;81,38%;79,31%;80,00%;82,07%;;82,07%;;;
MMP12Cat_Dive_T1_ref_peaks;MMP12_AHA_ref;56,16%;54,11%;61,64%;58,22%;;61,64%;;;
MMP12Cat_Dive_T1_ref_peaks;MMP12Cat_AHA_T1_ref_270510;70,95%;72,97%;78,38%;73,65%;;78,38%;;;
CAIIZn_000_furo_03_170317;CAIIZn_100_furo_11_170317;94,84%;94,84%;95,77%;93,90%;;95,77%;;;
CAIIZn_100_furo_11_170317;CAIIZn_000_furo_03_170317;94,84%;94,84%;95,77%;94,37%;;95,77%;;;
CAIIZn_0.00_sulpiride_03_040417;CAIIZn_5mM_sulpiride_19_040417;88,79%;98,13%;98,13%;88,79%;;98,13%;;;
CAII_Zn_000_pTulpho_03_220317;CAII_Zn_100f_pTulpho_18_220317;100,00%;100,00%;100,00%;100,00%;;100,00%;;;
CAII_Zn_000_pTS_04_291216;CAII_Zn_100_pTS_15_291216;91,98%;98,11%;98,11%;92,45%;;98,11%;;;
CAII_Zn_000_oxalate_04_221116;CAII_Zn_15mM_oxalate_31_221116;93,33%;95,24%;95,24%;91,43%;;95,24%;;;
